Day,Lecture,Project
Day-1,https://youtu.be/t2_Q2BRzeEE?feature=shared,https://youtu.be/78FsbjYSWIU?feature=shared
Day-1,https://youtu.be/t2_Q2BRzeEE?feature=shared,https://youtu.be/nPTJAFZJrqY?feature=shared
Day-1,https://youtu.be/t2_Q2BRzeEE?feature=shared,https://youtu.be/Is7jEZ4YzIs?feature=shared
Day-1,https://youtu.be/t2_Q2BRzeEE?feature=shared,https://youtu.be/jp-8ulk8tVA?feature=shared
Day-1,https://youtu.be/t2_Q2BRzeEE?feature=shared,https://youtu.be/wSGo61qseI8?feature=shared
Day-1,https://youtu.be/t2_Q2BRzeEE?feature=shared,https://youtu.be/6IFg6E7jWUg?feature=shared
Day-1,https://youtu.be/t2_Q2BRzeEE?feature=shared,https://youtu.be/59YKgmxg-Ms?feature=shared
Day-1,https://youtu.be/t2_Q2BRzeEE?feature=shared,https://youtu.be/9IZqk4pLcqk?feature=shared
Day-1,https://youtu.be/t2_Q2BRzeEE?feature=shared,https://youtu.be/72EtvRFuVCk?feature=shared
Day-1,https://youtu.be/t2_Q2BRzeEE?feature=shared,https://youtu.be/iCwkuJOxvRI?feature=shared
Day-2,https://youtu.be/lIId8IDP6TU?feature=shared,https://youtu.be/Nx-43wgs_Bo?feature=shared
Day-2,https://youtu.be/lIId8IDP6TU?feature=shared,https://youtu.be/8aJNaVIJ3z8?feature=shared
Day-3,https://youtu.be/qVyvmzFxF_o?feature=shared,https://youtu.be/g03VUgA8IdU?feature=shared
Day-3,https://youtu.be/qVyvmzFxF_o?feature=shared,https://youtu.be/ToVoM8Q1ZJQ?feature=shared
Day-3,https://youtu.be/qVyvmzFxF_o?feature=shared,https://youtu.be/dt7h8Sa3o4k?feature=shared
Day-3,https://youtu.be/qVyvmzFxF_o?feature=shared,https://youtu.be/bboXueOPIHw?feature=shared
Day-3,https://youtu.be/qVyvmzFxF_o?feature=shared,https://youtu.be/d2T-LBAetrE?feature=shared
Day-3,https://youtu.be/qVyvmzFxF_o?feature=shared,https://youtu.be/JxNpoHH-J4E?feature=shared
Day-3,https://youtu.be/qVyvmzFxF_o?feature=shared,https://youtu.be/is4LgKxpMFI?feature=shared
Day-3,https://youtu.be/qVyvmzFxF_o?feature=shared,https://youtu.be/QkDywO8OWNY?feature=shared
Day-4,https://youtu.be/078tYSD7K8E?feature=shared,https://youtu.be/MpmfB--lf6I?feature=shared
Day-4,https://youtu.be/078tYSD7K8E?feature=shared,https://youtu.be/ywRnE-vg-xA?feature=shared
Day-4,https://youtu.be/078tYSD7K8E?feature=shared,https://youtu.be/mkfWCptOZVc?feature=shared
Day-4,https://youtu.be/078tYSD7K8E?feature=shared,https://youtu.be/tOkYYtnVDmw?feature=shared
Day-4,https://youtu.be/078tYSD7K8E?feature=shared,https://youtu.be/rtJe-6gyKGM?feature=shared
Day-4,https://youtu.be/078tYSD7K8E?feature=shared,https://youtu.be/W3NKN6Q5ZWE?feature=shared
Day-5,https://youtu.be/S73thl0AyFU?feature=shared,https://youtu.be/AuRbiiB6x4I?feature=shared
Day-5,https://youtu.be/S73thl0AyFU?feature=shared,https://youtu.be/JzOtBOF5dWc?feature=shared
Day-6,https://youtu.be/OvTH-7ESoRA?feature=shared,https://youtu.be/JptOj-D6gtw?feature=shared
Day-6,https://youtu.be/OvTH-7ESoRA?feature=shared,https://youtu.be/UcdzT0WRr4U?feature=shared
Day-6,https://youtu.be/OvTH-7ESoRA?feature=shared,https://youtu.be/fSJ05WHNUGo?feature=shared
Day-6,https://youtu.be/OvTH-7ESoRA?feature=shared,https://youtu.be/UbGi_vagrNk?feature=shared
Day-7,,https://youtu.be/TzlcavuwNvo?feature=shared
Day-7,,https://youtu.be/6e8IqXVZUBk?feature=shared
Day-7,,https://youtu.be/2SSr-RVAwIg?feature=shared
